pdf_url,course_code,course_name,semester
https://engcomp.ufc.br/wp-content/uploads/2020/08/introducao-a-programacao.pdf,TI0109,Introdução à Programação ,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0108-fundamentos-de-programacao.pdf,CK0108,Fundamentos de Programação,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0664-calculo-fundamental.pdf,CB0664,Cálculo Fundamental,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/cd0327-fisica-fundamental.pdf,CD0327,Física Fundamental,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/cd0328-fisica-experimental-para-engenaria.pdf,CD0328,Física Experimental para Engenharia,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/ce0846-quimica-geral-para-engenharia.pdf,CE0846,Química Geral para Engenharia,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0139-introducao-a-engenharia-de-computacao.pdf,TI0139,Introdução à Engenharia de Computação,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/tl0617-desenho-para-engenharia.pdf,TL0617,Desenho para Engenharia,1
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0140-estrutura-de-dados.pdf,TI0140,Estrutura de Dados ,2
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0180-estrutura-de-dados.pdf,CK0180,Estrutura de Dados,2
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0702-Algebra-linear-1.pdf,CB0702,Álgebra Linear,2
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0111-estatistica-pra-engenharia.pdf,TI0111,Estatística para Engenharia,2
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0142-programacao-orientada-a-objetos.pdf,TI0142,Programação Orientada a Objetos ,3
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0112-tecnicas-de-programacao.pdf,CK0112,Técnicas de Programação I,3
https://engcomp.ufc.br/wp-content/uploads/2020/08/cb0669-calculo-vetorial-aplicado.pdf,CB0669,Cálculo Vetorial Aplicado,3
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0054-circuitos-eletricos.pdf,TI0054,Circuitos Elétricos,3
https://drive.google.com/uc?export=download&id=1GLyi-sixWs3hKv5kwkwdOnIWvzqtJnC4,TI0113,Eletromagnetismo Básico,3
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0141-eletronica-digital.pdf,TI0141,Eletrônica Digital,3
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0181-fundamentos-matematicos-da-computacao.pdf,CK0181,Fundamentos Matemáticos da Computação,4
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0182-metodos-numericos.pdf,CK0182,Métodos Numéricos,4
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0057-circuitos-eletronicos.pdf,TI0057,Circuitos Eletrônicos,4
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0143-sinais-e-sistemas.pdf,TI0143,Sinais e Sistemas,4
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0144-sistemas-microprocessados.pdf,TI0144,Sistemas Microprocessados,4
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0145-redes-de-computadores-i.pdf,TI0145,Redes de Computadores,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0150-engenharia-de-software.pdf,TI0150,Engenharia de Software,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0146-sistemas-operacionais-i.pdf,TI0146,Sistemas Operacionais I,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0186-sistemas-operacionais-i.pdf,CK0186,Sistemas Operacionais I,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ck0183-construcao-e-analise-de-algoritmos.pdf,CK0183,Construção e Análise de Algoritmos,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0118-introducao-aos-sistemas-de-controle.pdf,TI0118,Introdução aos Sistemas de Controle,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/tk0143-economia-da-engenharia-i.pdf,TK0143,Economia da Engenharia I,5
https://engcomp.ufc.br/wp-content/uploads/2020/08/ti0151-sistemas-distruibuidos.pdf,TI0151,Sistemas Distribuidos,6
